,Spectral entropy,Spectral entropy,Effective rank,Effective rank,Angular alignment,Angular alignment,Selectivity index,Selectivity index,Spectral sparsity,Spectral sparsity,Perturbation robustness,Perturbation robustness
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epoch,,,,,,,,,,,,
41,3.201959,0.40850896,26.351805,9.261305,-0.24805713,0.52913475,0.99859744,9.805938e-05,0.1484375,0.12771927,4.196046166082823e-08,2.0623874579102486e-08
42,3.1952734,0.41244107,26.21054,9.295042,-0.25978512,0.54578555,0.99859476,0.00010225278,0.16276042,0.12271494,3.908540160968421e-08,1.7918369993165884e-08
43,3.1886144,0.4165701,26.07188,9.32739,-0.2734458,0.5296599,0.9985916,0.00010486098,0.12109375,0.09416383,3.3926450038190836e-08,1.3639057667691908e-08
44,3.182427,0.42058453,25.945288,9.359464,-0.25923923,0.54920816,0.9985899,0.00010475893,0.17578125,0.12476106,4.1832587560630685e-08,2.0361653871699376e-08
45,3.1765337,0.42443535,25.825298,9.386791,-0.25183606,0.5396064,0.99858737,0.000108378175,0.15234375,0.10723772,4.3587862152971724e-08,2.0984244294830367e-08
46,3.1707706,0.42814845,25.707836,9.408616,-0.2561749,0.54622436,0.99858385,0.00011064934,0.1640625,0.14570928,3.866173842181908e-08,1.8832352144500852e-08
47,3.1651645,0.4318736,25.594875,9.428922,-0.25116357,0.5320011,0.9985802,0.00011402745,0.18619792,0.15032156,3.813897597737537e-08,1.586071486060528e-08
48,3.1596522,0.43564853,25.485346,9.450634,-0.25624374,0.5371408,0.998579,0.000117058094,0.140625,0.11919386,4.4984384051094395e-08,2.3331426895507236e-08
49,3.154344,0.4392654,25.380426,9.471287,-0.25208324,0.54522055,0.9985765,0.00011903779,0.14713542,0.110362604,4.370510486850776e-08,2.1690601248117484e-08
50,3.149271,0.44252777,25.27892,9.485391,-0.2222394,0.5340845,0.9985742,0.00012092007,0.109375,0.085898034,5.0213503521856495e-08,2.580130550907339e-08
51,3.1446693,0.44537988,25.186108,9.493681,-0.21932466,0.5403726,0.9985716,0.0001227665,0.14322917,0.09313067,4.323722585519718e-08,1.9051606828615146e-08
52,3.1400454,0.44814843,25.09272,9.501199,-0.2217785,0.5376946,0.9985698,0.0001258056,0.15755208,0.10540068,4.585517865418609e-08,2.386900793240097e-08
53,3.1356905,0.45057848,25.003748,9.504611,-0.24756527,0.54812604,0.99856794,0.00012781045,0.14973958,0.11567504,4.606019543551554e-08,2.1701677714676533e-08
54,3.1316512,0.45282856,24.92184,9.509265,-0.23383017,0.5299142,0.9985664,0.0001289538,0.118489586,0.09523325,4.820237009539596e-08,2.428095931365618e-08
55,3.1278758,0.45485473,24.845007,9.512056,-0.21376029,0.5502688,0.9985647,0.00013024887,0.13151042,0.10588001,4.425914024164257e-08,2.2000870248493756e-08
56,3.1242115,0.4568415,24.771109,9.516532,-0.2222009,0.53751147,0.9985614,0.0001318543,0.1328125,0.10915156,4.483975996061318e-08,2.0888572583023185e-08
57,3.1207576,0.45861652,24.700975,9.518936,-0.21966964,0.5467962,0.9985612,0.0001343231,0.115885414,0.110493615,5.1227623254490595e-08,2.5182848027946524e-08
58,3.1174479,0.4603529,24.634132,9.520691,-0.24063809,0.55174804,0.9985585,0.0001377195,0.118489586,0.08763836,4.858353230829948e-08,2.4460061942370987e-08
59,3.1143456,0.46214715,24.572721,9.523232,-0.22661537,0.5435995,0.998554,0.00014238259,0.122395836,0.09313067,5.072657766058697e-08,2.4774440773279177e-08
60,3.111321,0.4637113,24.51168,9.523499,-0.21544906,0.55008507,0.9985535,0.00014145856,0.15755208,0.14612445,5.1524872202168837e-08,2.5060713349248092e-08
61,3.1084087,0.46514502,24.45221,9.520538,-0.20399988,0.55047214,0.99855036,0.00014643496,0.12239583,0.1160886,4.894978938851935e-08,2.3631813214105262e-08
62,3.1056612,0.46659064,24.39733,9.521194,-0.2013442,0.5499613,0.99854803,0.00014741842,0.12109375,0.098665506,5.391595486736733e-08,2.9454400531517127e-08
63,3.1029587,0.46800378,24.343409,9.521683,-0.2248353,0.53638554,0.9985471,0.00015039905,0.12760417,0.0899701,4.71241999311367e-08,2.5963525606156372e-08
64,3.1005116,0.46925506,24.294617,9.522334,-0.21118394,0.5555254,0.99854696,0.00014854276,0.11328125,0.094394006,5.627209531677835e-08,3.1692326810413074e-08
65,3.098134,0.47051367,24.2475,9.522511,-0.22895792,0.53359276,0.9985464,0.0001499845,0.12630208,0.104157984,5.2999698352262925e-08,2.6309792584679234e-08
66,3.095832,0.47169706,24.201721,9.522139,-0.19234364,0.55055004,0.99854314,0.00015330117,0.114583336,0.08086626,5.17424593726723e-08,2.6711401905858742e-08
